# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Fri Apr  8 14:41:56 CEST 2022
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01520		Age = 	3.000e+08 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	8.48	2.82053518	2.8175	1.9846	4.0183	3.9225	-0.191	-0.070	0.089	0.143	0.164	0.195	0.255	0.275	0.290	3.29977584	 TO       
	8.48	2.90524578	2.9018	2.0502	4.0164	3.8621	-0.356	-0.241	-0.084	-0.030	-0.009	0.020	0.078	0.097	0.112	3.30171680	          
	8.48	2.97787809	2.9739	2.1060	4.0123	3.8004	-0.495	-0.388	-0.242	-0.189	-0.170	-0.144	-0.089	-0.072	-0.058	3.30326748	          
	8.48	3.00000000	2.9959	2.1229	4.0103	3.7789	-0.537	-0.433	-0.292	-0.241	-0.223	-0.197	-0.145	-0.128	-0.115	3.30372047	
	8.48	3.04564381	3.0412	2.1575	4.0061	3.7341	-0.624	-0.526	-0.397	-0.347	-0.331	-0.307	-0.260	-0.245	-0.232	3.30462837	          
	8.48	3.10039949	3.0955	2.1996	3.9986	3.6696	-0.729	-0.641	-0.533	-0.488	-0.474	-0.454	-0.416	-0.404	-0.393	3.30567145	          
	8.48	3.14777589	3.1424	2.2367	3.9897	3.6032	-0.822	-0.739	-0.657	-0.620	-0.611	-0.597	-0.569	-0.561	-0.553	3.30653620	          
	8.48	3.16883540	3.1632	2.2542	3.9855	3.5720	-0.866	-0.786	-0.715	-0.682	-0.675	-0.663	-0.641	-0.635	-0.627	3.30690980	          
	8.48	3.18835425	3.1825	2.2722	3.9824	3.5444	-0.910	-0.833	-0.771	-0.740	-0.735	-0.725	-0.707	-0.702	-0.695	3.30725026	          
	8.48	3.20119238	3.1952	2.2864	3.9819	3.5299	-0.946	-0.870	-0.809	-0.778	-0.773	-0.763	-0.745	-0.741	-0.734	3.30747104	 Te-m     
	8.48	3.21075702	3.2047	2.3014	3.9852	3.5293	-0.984	-0.908	-0.836	-0.801	-0.794	-0.783	-0.761	-0.755	-0.747	3.30763412	          
	8.48	3.21812844	3.2119	2.3202	3.9934	3.5443	-1.031	-0.953	-0.856	-0.812	-0.800	-0.784	-0.752	-0.742	-0.733	3.30775881	          
	8.48	3.22307920	3.2168	2.3518	4.0115	3.5857	-1.109	-1.022	-0.867	-0.806	-0.788	-0.763	-0.709	-0.692	-0.677	3.30784202	          
