# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Sat Apr  9 05:44:14 CEST 2022
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01520		Age = 	8.000e+08 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF
	8.90	1.77420294	1.7727	1.1486	3.9005	4.0861	1.898	2.090	2.049	1.860	1.754	1.664	1.561	1.492	1.483	3.25447583
	8.90	1.80509865	1.8039	1.1847	3.9028	4.0668	1.808	1.997	1.952	1.771	1.670	1.584	1.485	1.420	1.411	3.25676298
	8.90	1.88029313	1.8799	1.2713	3.9058	4.0098	1.592	1.779	1.724	1.556	1.461	1.382	1.287	1.227	1.218	3.26195741
	8.90	1.91130447	1.9113	1.3065	3.9057	3.9816	1.504	1.691	1.633	1.466	1.373	1.294	1.199	1.139	1.130	3.26395869
	8.90	1.94527626	1.9441	1.3445	3.9047	3.9471	1.409	1.597	1.536	1.369	1.275	1.195	1.099	1.038	1.028	3.26606417
	8.90	1.97420299	1.9718	1.3761	3.9025	3.9128	1.330	1.521	1.457	1.287	1.189	1.107	1.006	0.943	0.933	3.26778913
	8.90	1.99729562	1.9947	1.4012	3.9010	3.8869	1.267	1.460	1.394	1.222	1.122	1.038	0.935	0.870	0.860	3.26912355
	8.90	2.04436231	2.0415	1.4508	3.8953	3.8242	1.143	1.345	1.279	1.094	0.985	0.891	0.777	0.704	0.693	3.27172923
	8.90	2.08516884	2.0820	1.4923	3.8874	3.7597	1.039	1.255	1.190	0.986	0.863	0.756	0.627	0.542	0.530	3.27387023
	8.90	2.12058067	2.1170	1.5269	3.8779	3.6946	0.953	1.187	1.125	0.895	0.754	0.632	0.484	0.386	0.372	3.27564526
	8.90	2.15141606	2.1476	1.5564	3.8677	3.6304	0.879	1.137	1.079	0.821	0.661	0.521	0.352	0.238	0.222	3.27713203
	8.90	2.16531944	2.1613	1.5706	3.8630	3.6003	0.844	1.114	1.058	0.787	0.618	0.470	0.290	0.168	0.152	3.27778506
	8.90	2.17826939	2.1741	1.5860	3.8596	3.5736	0.805	1.085	1.029	0.749	0.573	0.419	0.233	0.104	0.087	3.27838421
	8.90	2.18602204	2.1818	1.5974	3.8588	3.5606	0.776	1.059	1.002	0.721	0.543	0.388	0.200	0.070	0.053	3.27873850
	8.90	2.19306421	2.1887	1.6147	3.8625	3.5594	0.733	1.007	0.946	0.675	0.506	0.357	0.177	0.054	0.038	3.27905774
	8.90	2.19783163	2.1934	1.6364	3.8713	3.5740	0.679	0.931	0.861	0.617	0.466	0.334	0.173	0.066	0.050	3.27927232
	8.90	2.20000005	2.1956	1.6612	3.8840	3.6003	0.617	0.842	0.762	0.557	0.431	0.322	0.185	0.098	0.085	3.27936959
	8.90	2.20111251	2.1967	1.6739	3.8906	3.6140	0.585	0.798	0.711	0.527	0.415	0.317	0.193	0.116	0.103	3.27941942
	8.90	2.20202780	2.1976	1.7084	3.9069	3.6452	0.499	0.681	0.589	0.453	0.372	0.300	0.207	0.152	0.141	3.27946019
	8.90	2.20253873	2.1981	1.7524	3.9249	3.6733	0.389	0.538	0.452	0.367	0.316	0.271	0.209	0.176	0.167	3.27948308
	8.90	2.20262742	2.1981	1.7324	3.9211	3.6779	0.439	0.595	0.508	0.412	0.354	0.304	0.235	0.197	0.188	3.27948713
	8.90	2.20272589	2.1982	1.7001	3.9106	3.6683	0.520	0.695	0.606	0.479	0.403	0.337	0.250	0.200	0.189	3.27949142
	8.90	2.20288467	2.1984	1.6918	3.8960	3.6181	0.540	0.743	0.651	0.484	0.382	0.294	0.181	0.112	0.099	3.27949858
	8.90	2.20313025	2.1986	1.7017	3.8793	3.5415	0.516	0.752	0.669	0.451	0.318	0.202	0.056	-0.037	-0.052	3.27950954
	8.90	2.20350146	2.1990	1.7098	3.8605	3.4584	0.495	0.778	0.706	0.434	0.263	0.113	-0.072	-0.196	-0.214	3.27952600
	8.90	2.20361900	2.1991	1.7111	3.8551	3.4354	0.492	0.789	0.721	0.433	0.250	0.090	-0.105	-0.239	-0.258	3.27953124
	8.90	2.20409298	2.1996	1.7072	3.8370	3.3670	0.502	0.860	0.799	0.454	0.235	0.042	-0.194	-0.362	-0.384	3.27955246
	8.90	2.20467544	2.2002	1.6970	3.8187	3.3043	0.528	0.964	0.902	0.496	0.239	0.013	-0.265	-0.470	-0.494	3.27957845
	8.90	2.20534015	2.2008	1.6802	3.8015	3.2525	0.570	1.100	1.028	0.556	0.265	0.009	-0.311	-0.552	-0.579	3.27960801
	8.90	2.20581436	2.2013	1.6656	3.7900	3.2211	0.606	1.225	1.129	0.609	0.295	0.018	-0.330	-0.596	-0.627	3.27962899
	8.90	2.20629501	2.2017	1.6454	3.7793	3.1986	0.656	1.359	1.241	0.675	0.339	0.044	-0.332	-0.622	-0.655	3.27965045
	8.90	2.20701241	2.2024	1.6069	3.7644	3.1775	0.753	1.605	1.434	0.800	0.432	0.111	-0.304	-0.629	-0.666	3.27968240
	8.90	2.20770454	2.2031	1.5563	3.7503	3.1720	0.879	1.885	1.655	0.955	0.558	0.213	-0.241	-0.599	-0.640	3.27971315
	8.90	2.20836115	2.2038	1.4995	3.7376	3.1781	1.021	2.197	1.894	1.131	0.706	0.340	-0.152	-0.542	-0.586	3.27974224
	8.90	2.20878029	2.2042	1.4650	3.7297	3.1812	1.107	2.390	2.040	1.238	0.797	0.417	-0.098	-0.508	-0.555	3.27976084
	8.90	2.20939517	2.2048	1.4385	3.7192	3.1657	1.174	2.612	2.190	1.338	0.873	0.475	-0.073	-0.511	-0.561	3.27978802
	8.90	2.20959997	2.2050	1.4335	3.7160	3.1578	1.186	2.676	2.230	1.362	0.890	0.487	-0.073	-0.520	-0.571	3.27979708
	8.90	2.21062207	2.2060	1.4807	3.7055	3.0687	1.068	2.727	2.201	1.281	0.785	0.364	-0.230	-0.706	-0.761	3.27984238
	8.90	2.21164346	2.2070	1.5476	3.6985	2.9742	0.901	2.679	2.096	1.140	0.628	0.195	-0.423	-0.918	-0.976	3.27988768
	8.90	2.21258473	2.2079	1.6148	3.6934	2.8866	0.733	2.608	1.977	0.996	0.471	0.028	-0.608	-1.118	-1.179	3.27992916
	8.90	2.21373534	2.2090	1.7010	3.6882	2.7800	0.517	2.493	1.813	0.805	0.267	-0.186	-0.841	-1.366	-1.429	3.27997994
	8.90	2.21462584	2.2099	1.7693	3.6838	2.6944	0.347	2.408	1.686	0.654	0.106	-0.356	-1.026	-1.564	-1.629	3.28001928
	8.90	2.21560264	2.2108	1.8444	3.6790	2.6002	0.159	2.317	1.547	0.489	-0.071	-0.542	-1.230	-1.782	-1.849	3.28006220
	8.90	2.21643043	2.2116	1.9090	3.6750	2.5196	-0.002	2.237	1.427	0.346	-0.223	-0.702	-1.405	-1.969	-2.038	3.28009868
	8.90	2.21729994	2.2124	1.9787	3.6707	2.4328	-0.177	2.155	1.301	0.198	-0.383	-0.871	-1.592	-2.169	-2.241	3.28013682
	8.90	2.21816611	2.2132	2.0494	3.6667	2.3464	-0.354	2.067	1.170	0.046	-0.547	-1.044	-1.780	-2.370	-2.445	3.28017497
	8.90	2.21898580	2.2139	2.1197	3.6623	2.2587	-0.529	1.989	1.044	-0.103	-0.708	-1.215	-1.968	-2.572	-2.650	3.28021097
	8.90	2.21977830	2.2145	2.1916	3.6574	2.1672	-0.709	1.920	0.921	-0.253	-0.871	-1.389	-2.161	-2.782	-2.862	3.28024554
	8.90	2.22050142	2.2151	2.2584	3.6526	2.0813	-0.876	1.862	0.809	-0.391	-1.022	-1.550	-2.342	-2.978	-3.062	3.28027725
	8.90	2.22122383	2.2156	2.3268	3.6480	1.9946	-1.047	1.802	0.696	-0.530	-1.174	-1.714	-2.525	-3.176	-3.263	3.28030896
	8.90	2.22190714	2.2160	2.3903	3.6434	1.9127	-1.206	1.763	0.599	-0.653	-1.311	-1.864	-2.695	-3.362	-3.452	3.28033876
	8.90	2.22263575	2.2163	2.4426	3.6396	1.8453	-1.337	1.732	0.519	-0.753	-1.424	-1.987	-2.834	-3.515	-3.608	3.28037047
